Humidity,WindSpeed,Pressure,Temperature
68,14,1035,140.26787609297966
81,8,1038,142.63762640366633
58,16,981,123.87683336043602
44,13,981,117.88119741022905
72,18,1033,136.91395141913728
37,15,980,112.8021976344545
50,13,998,123.41225872619819
68,9,981,126.41154081250082
87,15,1032,144.3727975275725
48,13,1023,123.80125962183035
52,1,1011,126.46508604619196
40,7,1049,122.54948530319905
40,9,1011,118.08125324823118
53,1,1047,129.37295780607997
82,12,1034,137.36386350362434
65,8,1035,133.86396329631427
69,11,996,134.09265957908218
53,19,1017,123.72917795185833
32,17,1003,114.17022510180396
51,8,1048,126.53959825991905
82,3,1049,142.68860489191783
31,3,990,112.39847631386466
53,1,995,123.74900026055968
73,5,1038,136.93392077732992
59,10,1049,133.2995480769775
67,7,982,133.85784868777193
31,9,999,112.26611325008699
89,7,1038,143.5163634874994
50,9,1015,126.01359466232796
62,8,998,126.32819836125195
41,12,1046,120.33346875709118
87,2,998,143.8899913083834
51,1,999,124.86938077089287
73,16,1031,135.02564964933498
54,5,1012,127.33670250220766
78,3,1019,139.48118233885688
56,12,1018,131.17909531225317
88,8,980,139.0483905315572
71,3,990,132.07317492535518
57,1,1036,130.98993365202486
89,3,1029,145.97447677361978
45,5,1002,122.89128730360865
44,15,1010,116.01692442693717
76,14,1021,138.152051733668
80,3,986,136.91742911672006
73,1,995,137.35364600885123
84,5,1039,144.8047125776859
81,14,981,136.83738891543558
86,7,980,138.81719637583632
32,9,1027,117.77604519484336
66,15,991,132.42753957889653
80,15,1048,140.3215271370898
36,10,1016,117.38561104967776
50,13,1011,122.52756542849376
38,19,988,117.18596358851894
68,7,998,131.5321168019799
47,17,1027,121.33461559739233
33,4,982,112.74344617207173
54,5,999,125.62856523536354
89,7,1003,141.81298996465478
43,13,1033,121.46310002182662
79,15,1012,138.01440371019413
87,11,1003,141.36905318015255
38,4,1015,121.3634171539517
55,13,1017,125.96128984437044
82,7,1004,139.59076698904482
31,19,997,111.94212349748453
49,2,1045,133.08961321202113
57,10,1033,128.22479617928227
76,13,1014,140.64724882429056
89,6,1040,144.93285366411092
36,12,1020,118.05794086446087
73,12,1012,134.62122741364362
37,11,1047,119.36945812695615
76,7,1012,139.19818476371998
64,1,993,132.29979326742205
43,1,1000,120.33750373235299
46,13,1027,118.91241199192987
65,9,999,129.75990507074496
79,3,987,137.87840822191362
69,7,986,131.70362722238937
33,6,1046,121.4118705635833
31,8,996,117.36708525886
35,9,1012,117.72774967450162
83,5,1027,144.33553673551523
71,1,1038,139.39636346275833
33,19,1001,115.1448715647845
83,10,1009,141.46280002192066
58,12,1017,129.79821135392865
47,15,1030,127.11791365804032
55,9,1033,129.4539686024387
73,17,987,131.25807547566453
63,17,1006,129.59257869600384
39,12,1006,119.97248463423854
65,7,1000,132.10285351405216
43,2,1009,124.12127715764282
60,3,1007,128.76205034536662
77,17,1043,137.66383154919103
44,5,1048,124.70992476930583
37,17,1040,116.56523539697532
